アドレス（ファイル名）、LOOP（するなら1）、LOOPSTART、LOOPLENGTH
tukito_nostalgia.ogg,1,295729,3735528
tukito_search_for_ideals.ogg,1,42000,7643992
tukito_color_of_the_light.ogg,1,57956,7044020
tukito_chaser.ogg,1,235200,1881598
tukito_sparring_regimen.ogg,1,583945,3503668
tukito_unwavering_belief.ogg,1,460174,8099059
tukito287_fly_to_the_sky.ogg,1,379938,8467192
tukito_ketsudan_no_toki.ogg,1,976984,4559257
tukito_freeze_in_nightmare.ogg,1,340772,10704262
tukito_yuugure_machinami.ogg,1,220500,2822400
tukito_school_of_the_unseen.ogg,1,211680,6773760
tukito_sinen_danmatsuma.ogg,1,244246,3175197
tukito287_gorgeous_moment_acoustic.ogg,1,76696,4448351
